STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,stk_flow,Stock or flow,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),partner,Geopolitical entity (partner),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,PT,Portugal,2016,,644457.51,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,PT,Portugal,2017,,715060.25,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,PT,Portugal,2018,,712048.88,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,PT,Portugal,2019,,764824.28,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,PT,Portugal,2020,,751286.7,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,PT,Portugal,2021,,926839.59,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,PT,Portugal,2022,,1056890.08,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,A,"Agriculture, forestry and fishing",WORLD,All countries of the world,PT,Portugal,2023,,1121379.3,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,AT,Austria,2014,,90699315.51,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,AT,Austria,2015,,92951552.34,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,AT,Austria,2016,,93587025.62,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,AT,Austria,2017,,99489207.09,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,AT,Austria,2018,,110910726.79,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,AT,Austria,2019,,114779599.64,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,AT,Austria,2020,,104744397.12,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,AT,Austria,2021,,123691566.77,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,AT,Austria,2022,,141170259.97,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,AT,Austria,2023,,145608249.45,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,DE,Germany,2013,,749990548.62,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,DE,Germany,2014,,775199703.5,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,DE,Germany,2015,,824033177.64,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,DE,Germany,2016,,825838859.44,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,DE,Germany,2017,,869313450.24,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,DE,Germany,2018,,930533963.61,,,,,
dataflow,ESTAT:EXT_TEC09(1.0),Trade by NACE Rev. 2 activity sector,A,Annual,THS_EUR,Thousand euro,EXP,Exports,C,Manufacturing,WORLD,All countries of the world,DE,Germany,2019,,931164346.97,,,,,
