country,sector,year,gva,hours,capital
PT,C,2008,21316.2,1512880,36415.1
PT,C,2009,19529.4,1385177,36560.6
PT,C,2010,20837.1,1350687,37653.1
PT,C,2011,19974.7,1320568,38560.2
PT,C,2012,19171.8,1268568,38553.2
PT,C,2013,19739.0,1251221,38275.0
PT,C,2014,20507.9,1275683,38994.5
PT,C,2015,21978.0,1309951,39622.9
PT,C,2016,22819.6,1322964,41335.0
PT,C,2017,24303.6,1357921,43706.0
PT,C,2018,25260.1,1402234,46771.8
PT,C,2019,25605.3,1391009,49096.2
PT,C,2020,24304.9,1289702,50708.4
PT,C,2021,26938.2,1313672,55275.7
PT,C,2022,30402.6,1352452,63258.0
PT,C,2023,32661.2,1380674,68301.3
AT,F,2000,13936.0,472239,21556.5
AT,F,2001,13595.9,451905,21951.2
AT,F,2002,13690.9,437213,22191.5
AT,F,2003,14615.4,450864,22891.6
AT,F,2004,15087.6,453991,23731.2
AT,F,2005,15293.3,449418,25101.0
AT,F,2006,15540.5,455225,26373.1
AT,F,2007,16913.4,468053,27573.6
AT,F,2008,17901.0,488992,28050.7
AT,F,2009,17409.9,473650,28233.0
AT,F,2010,16797.8,476928,28804.2
AT,F,2011,16768.6,482173,29282.1
AT,F,2012,17471.7,485366,29703.5
AT,F,2013,18080.9,476232,29981.9
AT,F,2014,18500.9,474485,30045.1
AT,F,2015,18846.3,472244,29951.4
AT,F,2016,19653.4,474990,30044.2
AT,F,2017,20873.1,485052,30250.3
AT,F,2018,22084.0,494867,30677.7
AT,F,2019,22949.8,514344,31219.0
AT,F,2020,23778.8,496448,31808.8
AT,F,2021,24531.2,538565,33913.8
AT,F,2022,26422.3,540757,36422.5
AT,F,2023,28395.0,531566,37679.7
DE,F,2000,96972.0,4725502,54564.0
DE,F,2001,91986.0,4383553,52884.0
DE,F,2002,87922.0,4139952,50638.0
DE,F,2003,84137.0,3940539,48292.0
DE,F,2004,81661.0,3839881,46493.0
DE,F,2005,78899.0,3690224,44772.0
DE,F,2006,81514.0,3773557,43672.0
DE,F,2007,85545.0,3862010,44520.0
DE,F,2008,88250.0,3864958,45022.0
DE,F,2009,89402.0,3830172,44822.0
DE,F,2010,94401.0,3887088,45340.0
DE,F,2011,100001.0,3948111,46163.0
DE,F,2012,104485.0,3920598,47859.0
DE,F,2013,107809.0,3896309,48969.0
DE,F,2014,111828.0,3938698,50722.0
DE,F,2015,113982.0,3935060,52209.0
DE,F,2016,120757.0,3949015,54156.0
DE,F,2017,127357.0,3965160,56838.0
DE,F,2018,137055.0,4012287,60593.0
DE,F,2019,143419.0,4038185,64311.0
DE,F,2020,154717.0,3979019,67958.0
