country,sector,year,gva,hours,capital,tfp,tfp_growth,exports,export_share
DE,J,2015,128329.0,1846077,148419.0,0.1597150717669121,0.00777880543491527,3471.9025,2.7054699249585052
DE,J,2016,129800.0,1892418,150944.0,0.15800252355425307,-0.010722521010154473,3681.0134500000004,2.835911748844376
DE,J,2017,137066.0,1946584,154006.0,0.1626407271466186,0.029355250081008366,5969.54701,4.355235441320239
DE,J,2018,148381.0,1990080,159436.0,0.1715068720733834,0.054513682288029,4722.0114699999995,3.1823558744044043
DE,J,2019,155567.0,2056912,169217.0,0.17245525502929765,0.005529708194482508,4343.52421,2.792060147717703
DE,J,2020,155462.0,2029977,172645.0,0.17272069634490392,0.0015391894875060874,3885.69783,2.499451846753548
DE,J,2021,167800.0,2138895,182408.0,0.17677487298004213,0.02347244262518755,4347.40514,2.5908254707985696
DE,J,2022,168244.0,2240287,205310.0,0.16524974568807102,-0.06519663738223869,4620.35396,2.7462221297639147
DE,J,2023,185650.0,2296081,217124.0,0.17608401895213782,0.06556302534055214,5098.656599999999,2.7463811473202258
DE,K,2013,119300.0,1789568,145068.0,0.15274975075982428,-0.026709661054243106,2081.53935,1.7447940905280803
DE,K,2014,120155.0,1777723,149113.0,0.1531344097854307,0.0025182301358464,1994.2908400000001,1.6597651699887646
DE,K,2015,124832.0,1771963,153615.0,0.15788403511619079,0.03101605535565244,2539.88006,2.034638602281466
DE,K,2016,122325.0,1741613,154351.0,0.15626779928880155,-0.01023685406950614,1948.02233,1.5924973063560186
DE,K,2017,121140.0,1682489,160683.0,0.15628938976296047,0.00013816329568339114,3116.99508,2.5730519068845963
DE,K,2018,120446.0,1625658,167490.0,0.1568507125989501,0.0035915607376864056,824.7702800000001,0.6847635288843134
DE,K,2019,125949.0,1603107,174053.0,0.16347258954870464,0.04221770395577318,820.5085600000001,0.651460956418868
DE,K,2020,128334.0,1559777,180132.0,0.16774317552563225,0.02612417157345659,1162.62848,0.9059395639503173
DE,K,2021,138836.0,1592568,195362.0,0.17422850583094246,0.038662260237938506,1344.09687,0.9681184058889627
DE,K,2022,135040.0,1556795,223894.0,0.16449525019375252,-0.05586488612049689,1016.03506,0.7523956309241706
DE,K,2023,149169.0,1559041,238900.0,0.17768579078197488,0.08018797243498366,614.54493,0.4119789835689721
DE,L,2013,287595.0,583427,4929694.0,0.24374727712466696,0.0290215978150552,1456.60202,0.5064768233105582
DE,L,2014,293879.0,585633,5092553.0,0.24579367723810686,0.008395581429995858,1942.2143600000002,0.660889127838328
DE,L,2015,304542.0,579409,5225776.0,0.2543649841317761,0.03487195842456914,1594.88581,0.5236997885349147
DE,L,2016,311455.0,578423,5386058.0,0.2578525008344241,0.013710679221638822,1689.15365,0.542342762196786
DE,L,2017,317987.0,586683,5603505.0,0.2573874075759818,-0.001803718237896823,1606.76259,0.5052919113045502
DE,L,2018,322425.0,588646,5901879.0,0.2559762054794383,-0.005482793854733936,872.41495,0.27057918895867256
DE,L,2019,329105.0,588254,6193512.0,0.2572686101605629,0.005048925069828236,755.9520200000001,0.2296993421552392
DE,L,2020,333172.0,570034,6362744.0,0.26364061618719353,0.02476791094978048,652.19866,0.1957543431020614
DE,L,2021,339710.0,602344,6966552.0,0.251429687442948,-0.046316568823277726,596.62477,0.1756276736039563
